Record_ID,Cow_ID,Data_Source,Record_Type,Day,Days_Before_Index,Breed,Age_Years,Lactation_Number,Parity,Days_In_Milk,Previous_Mastitis_History,Vaccination_Status,Body_Temperature_C,Udder_Temperature_C,Activity_Index,Rumination_Time_min,Feed_Intake_kgDM,Water_Intake_L,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,Milk_Fat_pct,Milk_Protein_pct,Milk_Lactose_pct,Milk_Solids_pct,Ambient_Temperature_C,Humidity_pct,THI,Hygiene_Score,Bedding_Cleanliness_Score,Milking_Frequency,class1,SCC_Change_3d,SCC_Change_7d,Conductivity_Change_3d,Conductivity_Change_7d,Yield_Change_3d,Yield_Change_7d,Activity_Change_3d,Activity_Change_7d,Rumination_Change_3d,Rumination_Change_7d,Temperature_Change_3d,Temperature_Change_7d
R03406,C0441,Synthetic,Synthetic_History,26,2,Sahiwal,6.1,4,4,42,0,0,38.76,39.12,36.1,472.1,11.76,95.0,36.04,,4.23,188,20.69,,4.09,2.92,4.89,12.86,21.8,63.1,68.6,2,1,2,,,,,,,,,,,,,
R03407,C0441,Synthetic,Synthetic_History,25,3,Sahiwal,6.1,4,4,41,0,0,38.64,38.75,37.2,497.0,13.79,108.3,35.83,,4.42,197,20.81,,3.71,3.21,4.65,12.44,22.0,57.5,68.4,2,1,2,,,,,,,,,,,,,
R03408,C0441,Synthetic,Synthetic_History,24,4,Sahiwal,6.1,4,4,40,0,0,38.28,38.89,36.3,483.9,12.32,111.4,35.29,,4.38,221,20.27,,3.82,3.39,4.79,12.7,20.9,56.0,66.8,2,1,2,,,,,,,,,,,,,
R03409,C0441,Synthetic,Synthetic_History,23,5,Sahiwal,6.1,4,4,39,0,0,38.3,38.79,38.8,477.7,12.36,101.8,35.25,,4.01,227,21.11,,4.42,3.25,4.92,13.45,22.4,54.1,68.8,2,1,2,,,,,,,,,,,,,
R03410,C0441,Synthetic,Synthetic_History,22,6,Sahiwal,6.1,4,4,38,0,0,38.36,38.98,41.1,497.4,14.26,100.7,34.95,,4.19,189,19.81,,3.23,3.02,4.81,11.69,23.3,49.2,69.4,2,1,2,,,,,,,,,,,,,
R03411,C0441,Synthetic,Synthetic_History,21,7,Sahiwal,6.1,4,4,37,0,0,38.29,38.47,38.3,489.0,14.11,98.1,34.9,,4.27,160,20.89,,3.5,3.18,4.75,12.19,23.3,51.2,69.6,2,1,2,,,,,,,,,,,,,
R03412,C0442,Synthetic,Synthetic_History,28,1,Crossbred,3.6,4,4,118,0,0,38.32,38.95,88.2,391.8,17.77,102.4,35.05,,5.07,120,19.26,,3.7,3.78,4.86,13.03,35.7,35.8,82.7,2,4,2,,,,,,,,,,,,,
R03413,C0442,Synthetic,Synthetic_History,27,2,Crossbred,3.6,4,4,117,0,0,38.06,38.21,79.0,398.6,17.02,95.3,34.75,,4.63,105,20.54,,4.3,2.96,4.82,12.84,35.1,39.0,82.7,2,4,2,,,,,,,,,,,,,
R03414,C0442,Synthetic,Synthetic_History,26,3,Crossbred,3.6,4,4,116,0,0,38.27,39.07,78.2,366.6,18.48,92.8,34.63,,4.6,89,20.2,,3.98,3.29,5.16,13.1,35.4,38.0,82.8,2,4,2,,,,,,,,,,,,,
R03415,C0442,Synthetic,Synthetic_History,25,4,Crossbred,3.6,4,4,115,0,0,38.41,38.9,72.1,363.4,18.06,95.7,34.47,,5.25,112,19.51,,3.86,3.36,4.93,13.05,33.6,41.9,81.4,2,4,2,,,,,,,,,,,,,
R03416,C0442,Synthetic,Synthetic_History,24,5,Crossbred,3.6,4,4,114,0,0,38.1,38.45,62.0,378.9,16.84,102.4,34.19,,5.27,106,21.08,,3.63,3.26,4.48,12.2,34.9,36.9,82.1,2,4,2,,,,,,,,,,,,,
R03417,C0442,Synthetic,Synthetic_History,23,6,Crossbred,3.6,4,4,113,0,0,37.95,38.17,61.6,378.2,17.5,113.6,34.13,,5.26,90,23.52,,3.59,3.19,4.53,12.02,35.1,38.3,82.6,2,4,2,,,,,,,,,,,,,
R03418,C0442,Synthetic,Synthetic_History,22,7,Crossbred,3.6,4,4,112,0,0,38.22,38.56,50.6,391.6,17.82,98.0,34.27,,5.73,115,22.07,,3.83,3.51,4.74,12.71,37.1,37.1,84.7,2,4,2,,,,,,,,,,,,,
R03419,C0443,Synthetic,Synthetic_History,15,1,Jersey,4.2,3,3,75,0,1,38.99,39.12,77.9,517.6,15.08,82.8,36.42,,4.96,166,18.83,,3.09,3.45,5.0,12.13,24.5,74.1,73.5,1,1,2,,,,,,,,,,,,,
R03420,C0443,Synthetic,Synthetic_History,14,2,Jersey,4.2,3,3,74,0,1,38.55,38.82,91.7,535.5,15.2,82.6,36.14,,4.72,271,17.77,,3.26,3.3,4.61,11.91,24.0,81.0,73.5,1,1,2,,,,,,,,,,,,,
R03421,C0443,Synthetic,Synthetic_History,13,3,Jersey,4.2,3,3,73,0,1,38.39,38.72,100.0,549.1,14.64,90.9,36.06,,4.63,324,18.33,,4.24,3.42,4.52,12.93,23.8,83.6,73.4,1,1,2,,,,,,,,,,,,,
R03422,C0443,Synthetic,Synthetic_History,12,4,Jersey,4.2,3,3,72,0,1,38.6,39.14,100.0,545.6,15.16,96.9,36.06,,4.67,334,18.08,,4.04,3.59,4.62,12.93,24.1,80.7,73.6,1,1,2,,,,,,,,,,,,,
R03423,C0443,Synthetic,Synthetic_History,11,5,Jersey,4.2,3,3,71,0,1,38.39,39.01,100.0,557.7,15.74,101.3,35.6,,4.48,319,17.47,,3.74,3.39,4.42,12.1,23.3,80.3,72.2,1,1,2,,,,,,,,,,,,,
R03424,C0443,Synthetic,Synthetic_History,10,6,Jersey,4.2,3,3,70,0,1,38.65,38.92,100.0,560.0,16.35,73.0,36.07,,4.66,356,16.01,,3.93,3.28,4.65,12.75,22.1,77.1,70.0,1,1,2,,,,,,,,,,,,,
R03425,C0443,Synthetic,Synthetic_History,9,7,Jersey,4.2,3,3,69,0,1,38.8,39.11,100.0,568.3,15.48,78.7,36.01,,4.73,336,15.28,,4.27,3.63,4.83,13.48,21.2,83.0,69.0,1,1,2,,,,,,,,,,,,,
R03426,C0444,Synthetic,Synthetic_History,18,1,Crossbred,3.2,2,2,282,0,0,38.48,38.73,54.0,418.6,16.18,86.8,35.3,,4.31,142,17.81,,3.46,2.86,4.73,11.74,28.2,83.7,80.5,2,2,2,,,,,,,,,,,,,
R03427,C0444,Synthetic,Synthetic_History,17,2,Crossbred,3.2,2,2,281,0,0,38.35,38.84,50.8,418.0,16.11,88.2,35.42,,4.55,136,18.53,,3.5,3.14,5.08,12.44,29.8,81.6,82.9,2,2,2,,,,,,,,,,,,,
R03428,C0444,Synthetic,Synthetic_History,16,3,Crossbred,3.2,2,2,280,0,0,38.8,39.15,52.7,361.0,15.88,81.4,35.69,,4.6,102,14.27,,4.04,2.93,4.9,12.51,31.3,79.8,85.0,2,2,2,,,,,,,,,,,,,
R03429,C0444,Synthetic,Synthetic_History,15,4,Crossbred,3.2,2,2,279,0,0,38.47,39.11,63.1,360.1,18.02,75.8,35.56,,4.78,114,13.08,,3.28,3.09,4.69,11.73,31.0,80.2,84.5,2,2,2,,,,,,,,,,,,,
R03430,C0444,Synthetic,Synthetic_History,14,5,Crossbred,3.2,2,2,278,0,0,38.18,38.41,70.4,375.0,16.52,81.6,35.27,,4.73,96,14.03,,3.64,2.87,4.78,12.04,31.1,82.6,85.2,2,2,2,,,,,,,,,,,,,
R03431,C0444,Synthetic,Synthetic_History,13,6,Crossbred,3.2,2,2,277,0,0,38.4,38.77,68.9,365.8,15.31,62.2,35.32,,4.92,141,11.55,,3.0,3.48,4.19,11.49,30.5,86.7,84.7,2,2,2,,,,,,,,,,,,,
R03432,C0444,Synthetic,Synthetic_History,12,7,Crossbred,3.2,2,2,276,0,0,38.29,38.44,75.4,407.1,15.76,84.8,35.02,,4.61,157,13.84,,4.1,3.07,4.65,12.54,29.7,92.1,84.3,2,2,2,,,,,,,,,,,,,
R03433,C0445,Synthetic,Synthetic_History,3,1,Crossbred,2.0,2,2,59,1,1,38.5,39.08,58.8,461.2,18.75,98.3,35.45,,4.32,49,19.21,,3.67,2.99,4.93,12.37,31.5,63.2,82.6,1,2,3,,,,,,,,,,,,,
R03434,C0445,Synthetic,Synthetic_History,2,2,Crossbred,2.0,2,2,58,1,1,38.47,39.09,53.0,461.9,17.66,94.1,35.48,,4.47,43,18.52,,3.63,3.23,4.94,12.69,31.3,65.5,82.6,1,2,3,,,,,,,,,,,,,
R03435,C0445,Synthetic,Synthetic_History,1,3,Crossbred,2.0,2,2,57,1,1,38.26,38.58,64.4,444.5,17.0,82.9,35.24,,4.41,60,20.62,,3.8,3.27,4.61,12.28,30.5,68.0,81.8,1,2,3,,,,,,,,,,,,,
R03436,C0446,Synthetic,Synthetic_History,2,1,Jersey,2.0,1,1,36,0,1,38.6,39.05,82.2,458.1,17.13,104.8,36.15,,4.77,159,22.85,,3.99,2.86,4.57,12.0,27.6,68.9,77.7,3,2,2,,,,,,,,,,,,,
R03437,C0446,Synthetic,Synthetic_History,1,2,Jersey,2.0,1,1,35,0,1,38.69,39.41,84.3,477.8,17.07,116.5,35.93,,4.5,131,24.49,,4.44,3.49,4.35,12.95,27.8,65.6,77.5,3,2,2,,,,,,,,,,,,,
R03438,C0447,Synthetic,Synthetic_History,16,1,Gir,2.0,1,1,20,0,1,38.57,38.84,85.1,401.3,12.36,84.8,34.6,,4.77,96,14.25,,3.85,3.26,4.68,12.61,14.4,71.2,57.9,2,2,2,,,,,,,,,,,,,
R03439,C0447,Synthetic,Synthetic_History,15,2,Gir,2.0,1,1,19,0,1,37.89,38.31,86.7,415.9,11.63,67.8,34.83,,4.82,111,14.07,,3.35,2.98,4.63,11.59,14.9,74.0,58.7,2,2,2,,,,,,,,,,,,,
R03440,C0447,Synthetic,Synthetic_History,14,3,Gir,2.0,1,1,18,0,1,38.4,38.58,92.5,429.6,9.78,64.9,35.3,,4.48,90,12.72,,3.97,3.31,4.97,13.01,15.8,71.0,60.1,2,2,2,,,,,,,,,,,,,
R03441,C0447,Synthetic,Synthetic_History,13,4,Gir,2.0,1,1,17,0,1,38.29,38.73,83.7,435.2,10.3,66.9,35.32,,4.43,94,13.35,,3.52,3.17,4.81,12.17,15.7,70.2,59.9,2,2,2,,,,,,,,,,,,,
R03442,C0447,Synthetic,Synthetic_History,12,5,Gir,2.0,1,1,16,0,1,38.34,39.12,75.6,433.6,9.82,70.2,35.39,,4.41,93,11.54,,3.64,3.56,4.6,12.35,15.4,67.3,59.4,2,2,2,,,,,,,,,,,,,
R03443,C0447,Synthetic,Synthetic_History,11,6,Gir,2.0,1,1,15,0,1,38.73,38.84,84.6,447.9,10.85,58.4,35.84,,4.41,78,11.87,,3.37,3.14,4.8,12.0,14.5,74.5,58.1,2,2,2,,,,,,,,,,,,,
R03444,C0447,Synthetic,Synthetic_History,10,7,Gir,2.0,1,1,14,0,1,38.7,39.02,82.9,432.6,13.67,61.4,36.17,,4.22,70,12.54,,3.82,3.38,4.86,12.85,15.2,74.1,59.1,2,2,2,,,,,,,,,,,,,
R03445,C0448,Synthetic,Synthetic_History,16,1,Jersey,2.0,1,1,52,0,0,38.36,38.58,65.8,475.3,15.36,89.5,35.06,,4.93,131,18.67,,3.57,3.11,5.06,12.46,29.2,71.7,80.4,1,1,2,,,,,,,,,,,,,
R03446,C0448,Synthetic,Synthetic_History,15,2,Jersey,2.0,1,1,51,0,0,38.06,38.67,65.3,499.2,16.91,77.3,35.31,,5.08,112,17.26,,3.39,3.22,4.94,12.36,28.4,72.2,79.3,1,1,2,,,,,,,,,,,,,
R03447,C0448,Synthetic,Synthetic_History,14,3,Jersey,2.0,1,1,50,0,0,38.21,38.4,73.1,510.4,15.71,87.5,35.23,,4.96,120,18.25,,3.76,3.41,4.72,12.73,29.4,72.1,80.8,1,1,2,,,,,,,,,,,,,
R03448,C0448,Synthetic,Synthetic_History,13,4,Jersey,2.0,1,1,49,0,0,38.27,38.64,73.2,539.1,14.45,86.1,35.0,,4.91,194,17.57,,3.59,3.2,4.38,11.94,29.5,68.3,80.4,1,1,2,,,,,,,,,,,,,
R03449,C0448,Synthetic,Synthetic_History,12,5,Jersey,2.0,1,1,48,0,0,38.07,38.34,76.2,552.4,13.67,100.0,34.76,,5.3,145,18.45,,3.49,3.28,4.74,12.15,29.3,71.8,80.6,1,1,2,,,,,,,,,,,,,
R03450,C0448,Synthetic,Synthetic_History,11,6,Jersey,2.0,1,1,47,0,0,38.38,38.31,74.2,570.5,17.9,69.5,34.65,,5.39,132,17.32,,3.53,3.09,4.58,11.9,29.7,75.6,81.8,1,1,2,,,,,,,,,,,,,
R03451,C0448,Synthetic,Synthetic_History,10,7,Jersey,2.0,1,1,46,0,0,38.39,38.76,65.5,611.2,14.61,77.7,34.66,,5.37,176,16.63,,3.7,3.41,4.97,12.77,28.5,72.8,79.5,1,1,2,,,,,,,,,,,,,
R03452,C0449,Synthetic,Synthetic_History,11,1,Crossbred,2.3,2,2,18,0,0,38.64,39.13,78.1,433.4,16.28,87.2,36.15,,4.56,151,19.49,,4.05,3.33,5.11,13.12,32.4,36.8,79.1,1,3,2,,,,,,,,,,,,,
R03453,C0449,Synthetic,Synthetic_History,10,2,Crossbred,2.3,2,2,17,0,0,38.6,38.72,80.2,444.0,18.54,95.1,36.37,,4.72,169,19.92,,4.01,3.21,4.42,12.24,31.1,30.5,76.5,1,3,2,,,,,,,,,,,,,
R03454,C0449,Synthetic,Synthetic_History,9,3,Crossbred,2.3,2,2,16,0,0,38.98,39.25,74.9,472.8,16.72,93.8,36.45,,4.76,186,22.86,,3.32,2.88,4.62,11.66,31.1,30.3,76.5,1,3,2,,,,,,,,,,,,,
R03455,C0449,Synthetic,Synthetic_History,8,4,Crossbred,2.3,2,2,15,0,0,38.87,39.28,79.8,481.9,17.66,112.4,36.29,,5.23,207,23.41,,3.66,2.79,4.6,11.7,31.0,27.9,76.0,1,3,2,,,,,,,,,,,,,
R03456,C0449,Synthetic,Synthetic_History,7,5,Crossbred,2.3,2,2,14,0,0,38.65,39.3,76.6,486.8,16.16,101.2,36.01,,5.28,182,22.86,,3.4,3.51,4.64,12.23,30.6,31.5,76.1,1,3,2,,,,,,,,,,,,,
R03457,C0449,Synthetic,Synthetic_History,6,6,Crossbred,2.3,2,2,13,0,0,38.9,39.29,82.9,481.0,16.85,104.8,36.2,,5.44,196,23.6,,3.88,3.21,4.72,12.54,30.4,29.6,75.6,1,3,2,,,,,,,,,,,,,
R03458,C0449,Synthetic,Synthetic_History,5,7,Crossbred,2.3,2,2,12,0,0,38.29,38.73,75.7,469.0,17.8,101.2,36.06,,5.54,202,20.74,,4.15,3.15,4.78,12.74,29.8,29.6,74.9,1,3,2,,,,,,,,,,,,,
R03459,C0450,Synthetic,Synthetic_History,27,1,Jersey,6.9,6,6,229,1,0,38.15,38.66,51.1,469.8,13.79,83.9,35.55,,4.98,163,13.85,,3.76,3.45,4.93,12.9,33.5,55.9,84.0,1,3,2,,,,,,,,,,,,,
R03460,C0450,Synthetic,Synthetic_History,26,2,Jersey,6.9,6,6,228,1,0,38.68,39.28,52.1,473.6,13.73,78.2,35.95,,4.62,116,15.36,,3.65,3.09,4.88,12.45,33.5,55.5,83.9,1,3,2,,,,,,,,,,,,,
R03461,C0450,Synthetic,Synthetic_History,25,3,Jersey,6.9,6,6,227,1,0,38.95,39.34,54.4,456.8,15.83,85.0,35.92,,4.68,105,15.95,,3.5,3.46,4.39,12.09,32.1,51.5,81.2,1,3,2,,,,,,,,,,,,,
R03462,C0450,Synthetic,Synthetic_History,24,4,Jersey,6.9,6,6,226,1,0,38.24,38.97,58.4,466.2,17.29,75.0,35.82,,4.78,85,15.52,,4.26,3.38,4.88,13.18,31.8,55.0,81.5,1,3,2,,,,,,,,,,,,,
R03463,C0450,Synthetic,Synthetic_History,23,5,Jersey,6.9,6,6,225,1,0,38.92,39.26,58.9,485.1,14.87,83.4,35.84,,4.59,115,15.67,,4.13,3.08,4.73,12.48,32.2,55.6,82.2,1,3,2,,,,,,,,,,,,,
R03464,C0450,Synthetic,Synthetic_History,22,6,Jersey,6.9,6,6,224,1,0,38.63,38.94,68.9,477.1,14.14,79.4,36.01,,4.89,103,14.91,,3.09,3.38,4.87,11.86,31.9,51.0,81.0,1,3,2,,,,,,,,,,,,,
R03465,C0450,Synthetic,Synthetic_History,21,7,Jersey,6.9,6,6,223,1,0,38.67,38.87,73.2,500.1,15.75,83.1,36.05,,5.22,103,15.98,,3.77,3.23,4.48,12.22,32.8,49.1,81.8,1,3,2,,,,,,,,,,,,,
R03466,C0451,Synthetic,Synthetic_History,29,1,Crossbred,4.4,3,3,50,0,0,38.19,38.4,73.8,497.1,15.73,88.0,35.17,,4.54,96,16.41,,3.87,2.8,4.93,12.48,16.0,56.9,60.1,4,3,2,,,,,,,,,,,,,
R03467,C0451,Synthetic,Synthetic_History,28,2,Crossbred,4.4,3,3,49,0,0,38.42,38.88,67.7,525.9,15.93,79.3,35.28,,4.7,126,15.61,,3.2,3.09,4.5,11.59,15.1,58.4,58.9,4,3,2,,,,,,,,,,,,,
R03468,C0451,Synthetic,Synthetic_History,27,3,Crossbred,4.4,3,3,48,0,0,38.2,38.72,76.6,521.5,16.31,68.0,35.26,,4.37,108,13.41,,3.53,2.98,5.01,12.27,15.9,58.1,60.0,4,3,2,,,,,,,,,,,,,
R03469,C0451,Synthetic,Synthetic_History,26,4,Crossbred,4.4,3,3,47,0,0,38.71,39.35,67.0,541.9,16.77,65.3,35.4,,4.06,119,11.2,,4.1,3.0,4.75,12.29,16.8,56.6,61.2,4,3,2,,,,,,,,,,,,,
R03470,C0451,Synthetic,Synthetic_History,25,5,Crossbred,4.4,3,3,46,0,0,38.62,39.36,74.1,541.0,14.8,54.7,35.67,,3.88,116,10.69,,3.51,3.37,4.7,12.34,16.1,60.0,60.3,4,3,2,,,,,,,,,,,,,
R03471,C0451,Synthetic,Synthetic_History,24,6,Crossbred,4.4,3,3,45,0,0,38.31,38.76,73.1,552.3,16.52,78.3,35.53,,3.82,100,10.13,,4.27,3.32,5.07,13.45,15.6,56.0,59.5,4,3,2,,,,,,,,,,,,,
R03472,C0451,Synthetic,Synthetic_History,23,7,Crossbred,4.4,3,3,44,0,0,38.33,38.75,65.7,529.9,14.05,59.2,35.33,,3.62,95,9.57,,4.12,3.47,5.14,13.35,16.2,56.2,60.4,4,3,2,,,,,,,,,,,,,
R03473,C0452,Synthetic,Synthetic_History,28,1,Sahiwal,6.8,5,5,297,1,0,38.59,38.95,43.9,412.7,13.61,94.1,35.36,,4.95,142,17.53,,4.66,3.58,4.75,13.63,39.0,50.3,90.1,1,3,3,,,,,,,,,,,,,
R03474,C0452,Synthetic,Synthetic_History,27,2,Sahiwal,6.8,5,5,296,1,0,38.57,38.84,36.7,402.3,12.26,87.2,35.25,,5.06,128,18.23,,3.8,3.23,5.05,12.77,39.4,46.6,89.7,1,3,3,,,,,,,,,,,,,
R03475,C0452,Synthetic,Synthetic_History,26,3,Sahiwal,6.8,5,5,295,1,0,38.11,38.35,35.3,379.7,11.84,90.3,35.24,,5.05,139,17.87,,4.08,3.6,4.61,12.88,39.9,44.5,89.9,1,3,3,,,,,,,,,,,,,
R03476,C0452,Synthetic,Synthetic_History,25,4,Sahiwal,6.8,5,5,294,1,0,38.37,38.94,38.6,390.8,15.28,99.9,35.05,,4.89,141,17.29,,4.3,3.41,4.57,13.03,40.4,45.0,90.6,1,3,3,,,,,,,,,,,,,
R03477,C0452,Synthetic,Synthetic_History,24,5,Sahiwal,6.8,5,5,293,1,0,38.58,38.88,33.9,395.3,12.14,86.4,34.99,,4.7,138,17.37,,3.89,3.02,4.4,11.9,39.9,42.8,89.4,1,3,3,,,,,,,,,,,,,
R03478,C0452,Synthetic,Synthetic_History,23,6,Sahiwal,6.8,5,5,292,1,0,38.3,38.64,29.4,396.8,13.31,101.6,34.99,,4.53,121,17.91,,3.78,3.25,5.07,12.97,40.1,37.7,88.3,1,3,3,,,,,,,,,,,,,
R03479,C0452,Synthetic,Synthetic_History,22,7,Sahiwal,6.8,5,5,291,1,0,38.34,38.91,34.3,410.7,14.03,79.9,34.81,,4.12,129,16.4,,3.71,3.0,4.52,11.88,41.6,34.6,89.2,1,3,3,,,,,,,,,,,,,
R03480,C0453,Synthetic,Synthetic_History,13,1,Jersey,5.2,4,4,23,0,0,38.37,38.78,47.9,458.4,16.4,92.0,35.79,,5.6,239,17.35,,3.37,3.17,4.98,12.31,21.2,91.2,69.6,1,2,2,,,,,,,,,,,,,
R03481,C0453,Synthetic,Synthetic_History,12,2,Jersey,5.2,4,4,22,0,0,38.7,38.9,39.3,472.5,17.48,83.5,35.79,,5.51,212,15.44,,4.02,3.27,4.88,13.1,20.8,91.1,68.9,1,2,2,,,,,,,,,,,,,
R03482,C0453,Synthetic,Synthetic_History,11,3,Jersey,5.2,4,4,21,0,0,38.56,38.63,29.3,461.5,13.94,72.5,35.85,,5.62,204,13.23,,4.59,3.24,4.6,13.28,21.0,89.5,69.1,1,2,2,,,,,,,,,,,,,
R03483,C0453,Synthetic,Synthetic_History,10,4,Jersey,5.2,4,4,20,0,0,38.81,39.3,20.4,447.0,13.47,71.9,35.97,,6.21,227,13.12,,3.89,3.17,4.4,12.16,21.7,91.5,70.4,1,2,2,,,,,,,,,,,,,
R03484,C0453,Synthetic,Synthetic_History,9,5,Jersey,5.2,4,4,19,0,0,38.53,38.97,21.3,455.7,14.39,64.5,35.85,,6.44,247,14.1,,4.07,2.72,4.9,12.41,21.8,88.9,70.3,1,2,2,,,,,,,,,,,,,
R03485,C0453,Synthetic,Synthetic_History,8,6,Jersey,5.2,4,4,18,0,0,38.69,38.8,29.6,481.9,17.12,77.4,35.97,,6.28,255,12.99,,4.15,3.44,4.36,12.63,22.6,94.7,72.2,1,2,2,,,,,,,,,,,,,
R03486,C0453,Synthetic,Synthetic_History,7,7,Jersey,5.2,4,4,17,0,0,38.28,38.5,21.1,461.0,15.04,77.7,35.79,,6.5,247,12.18,,3.57,3.11,4.46,11.9,22.9,90.5,72.4,1,2,2,,,,,,,,,,,,,
R03487,C0454,Synthetic,Synthetic_History,20,1,Crossbred,5.9,5,5,44,1,0,38.5,38.98,96.9,473.2,18.13,102.2,35.44,,4.9,203,21.47,,4.15,3.34,4.42,12.57,22.0,74.2,69.6,1,2,2,,,,,,,,,,,,,
R03488,C0454,Synthetic,Synthetic_History,19,2,Crossbred,5.9,5,5,43,1,0,38.29,39.07,99.4,464.3,18.23,101.8,35.27,,4.89,191,22.1,,3.66,2.97,4.69,12.05,22.4,77.9,70.5,1,2,2,,,,,,,,,,,,,
R03489,C0454,Synthetic,Synthetic_History,18,3,Crossbred,5.9,5,5,42,1,0,38.2,38.28,100.0,470.9,16.06,104.2,35.23,,4.66,188,21.46,,4.25,3.05,4.55,12.42,22.3,80.6,70.6,1,2,2,,,,,,,,,,,,,
R03490,C0454,Synthetic,Synthetic_History,17,4,Crossbred,5.9,5,5,41,1,0,38.06,38.84,100.0,475.4,14.13,105.8,35.07,,4.19,154,21.11,,3.65,3.04,4.69,12.1,21.7,82.2,69.9,1,2,2,,,,,,,,,,,,,
R03491,C0454,Synthetic,Synthetic_History,16,5,Crossbred,5.9,5,5,40,1,0,38.3,38.37,100.0,474.8,16.58,111.1,35.13,,4.55,144,20.74,,3.7,3.06,4.94,12.6,21.6,80.7,69.5,1,2,2,,,,,,,,,,,,,
R03492,C0454,Synthetic,Synthetic_History,15,6,Crossbred,5.9,5,5,39,1,0,38.02,38.39,100.0,466.6,17.58,95.4,35.05,,4.23,180,20.52,,3.02,3.39,4.55,11.76,20.6,80.4,67.9,1,2,2,,,,,,,,,,,,,
R03493,C0454,Synthetic,Synthetic_History,14,7,Crossbred,5.9,5,5,38,1,0,38.32,38.94,100.0,473.5,16.78,106.2,35.48,,4.5,209,20.54,,3.75,3.5,4.46,12.32,21.1,81.6,68.7,1,2,2,,,,,,,,,,,,,
R03494,C0455,Synthetic,Synthetic_History,5,1,Crossbred,2.9,1,1,98,0,1,38.39,39.05,100.0,421.0,16.75,85.5,35.85,,4.03,80,19.94,,3.17,3.36,4.85,12.22,31.5,42.0,78.9,3,1,2,,,,,,,,,,,,,
R03495,C0455,Synthetic,Synthetic_History,4,2,Crossbred,2.9,1,1,97,0,1,38.18,38.52,93.1,429.4,19.2,87.4,35.76,,4.03,76,19.9,,3.6,3.03,4.69,11.95,32.1,49.4,80.9,3,1,2,,,,,,,,,,,,,
R03496,C0455,Synthetic,Synthetic_History,3,3,Crossbred,2.9,1,1,96,0,1,38.4,38.98,100.0,432.8,16.67,97.2,35.6,,3.69,80,19.07,,3.76,3.17,5.03,12.68,32.1,49.2,81.0,3,1,2,,,,,,,,,,,,,
R03497,C0455,Synthetic,Synthetic_History,2,4,Crossbred,2.9,1,1,95,0,1,38.48,38.61,100.0,401.8,15.93,90.9,35.99,,3.73,74,18.42,,4.13,3.12,4.95,12.86,32.9,47.2,81.5,3,1,2,,,,,,,,,,,,,
R03498,C0455,Synthetic,Synthetic_History,1,5,Crossbred,2.9,1,1,94,0,1,38.75,39.66,93.1,398.3,18.58,96.7,35.78,,3.57,73,19.31,,4.71,3.26,4.73,13.42,31.8,46.1,80.0,3,1,2,,,,,,,,,,,,,
R03499,C0456,Synthetic,Synthetic_History,2,1,Crossbred,5.4,3,3,197,0,0,38.55,38.72,67.8,504.8,16.67,90.8,34.62,,4.21,206,18.43,,4.43,3.19,4.54,12.73,29.9,62.6,80.0,2,2,2,,,,,,,,,,,,,
R03500,C0456,Synthetic,Synthetic_History,1,2,Crossbred,5.4,3,3,196,0,0,38.46,38.82,75.1,542.3,17.07,83.3,34.85,,4.12,224,18.86,,3.73,3.37,4.64,12.46,29.0,65.9,79.2,2,2,2,,,,,,,,,,,,,
R03501,C0457,Synthetic,Synthetic_History,27,1,Gir,5.8,5,5,4,0,0,38.34,38.45,59.4,400.0,11.47,98.1,34.92,,4.61,150,20.71,,4.02,3.27,4.45,12.43,29.5,81.6,82.4,2,1,3,,,,,,,,,,,,,
R03502,C0457,Synthetic,Synthetic_History,26,2,Gir,5.8,5,5,3,0,0,38.4,39.08,58.1,425.0,11.01,121.0,35.07,,4.47,157,21.25,,3.18,3.33,4.69,11.89,30.9,77.4,84.0,2,1,3,,,,,,,,,,,,,
R03503,C0457,Synthetic,Synthetic_History,25,3,Gir,5.8,5,5,2,0,0,38.32,38.52,67.8,402.0,11.62,83.5,34.99,,4.31,157,18.86,,3.63,3.62,4.62,12.65,31.4,75.7,84.4,2,1,3,,,,,,,,,,,,,
R03504,C0457,Synthetic,Synthetic_History,24,4,Gir,5.8,5,5,1,0,0,38.43,38.88,64.8,419.6,12.69,95.1,35.26,,4.48,152,18.14,,4.54,3.19,4.74,12.98,30.2,77.2,82.8,2,1,3,,,,,,,,,,,,,
R03505,C0457,Synthetic,Synthetic_History,23,5,Gir,5.8,5,5,1,0,0,38.39,38.78,66.1,459.0,11.51,86.2,35.23,,5.01,128,16.84,,3.39,2.92,4.91,12.0,30.5,74.4,82.8,2,1,3,,,,,,,,,,,,,
R03506,C0457,Synthetic,Synthetic_History,22,6,Gir,5.8,5,5,1,0,0,38.0,38.42,56.5,437.6,11.63,89.2,35.1,,4.59,104,18.95,,4.63,3.12,4.64,13.05,28.7,76.8,80.4,2,1,3,,,,,,,,,,,,,
R03507,C0457,Synthetic,Synthetic_History,21,7,Gir,5.8,5,5,1,0,0,38.14,38.28,55.2,400.6,7.95,101.6,35.0,,4.72,85,19.09,,3.35,3.65,4.99,12.57,29.5,76.4,81.5,2,1,3,,,,,,,,,,,,,
